qid,en_label,ja_label,id_label,prefix,cleaned_input,tokiponized,toki_pona_label
Q135039182,Ahachino Shrine,淡路神社,Kuil Ahachino,Kuil,ahachino,Apasino,tomo sewi Apasino
Q135229657,Ahachino Shrine,阿波遅神社,Kuil Ahachino,Kuil,ahachino,Apasino,tomo sewi Apasino
Q135038804,Ahano Shrine,粟神社,Kuil Ahano,Kuil,ahano,Apano,tomo sewi Apano
Q135039173,Ahano Shrine,合祀：大津神社,Kuil Ahano,Kuil,ahano,Apano,tomo sewi Apano
Q135039244,Ahano Shrine,阿波神社,Kuil Ahano,Kuil,ahano,Apano,tomo sewi Apano
Q135039930,Ahanono Shrine,粟野神社,Kuil Ahanono,Kuil,ahanono,Apanono,tomo sewi Apanono
Q135039939,Ahasano Shrine,粟狭神社,Kuil Ahasano,Kuil,ahasano,Apasano,tomo sewi Apasano
Q135039455,Ahashimano-isahano Shrine,粟島坐伊射波神社 二座,Kuil Ahashimano-isahano,Kuil,ahashimanoisahano,Apasimanowisapano,tomo sewi Apasimanowisapano
Q135040534,Ahichino Shrine,阿毘地神社,Kuil Ahichino,Kuil,ahichino,Apisino,tomo sewi Apisino
Q135040300,Ahimino Shrine,相見神社,Kuil Ahimino,Kuil,ahimino,Apimino,tomo sewi Apimino
Q11657481,Ahita Shrine,阿比太神社,Kuil Ahita,Kuil,ahita,Apita,tomo sewi Apita
Q135040419,Ahitano Shrine,阿比多神社,Kuil Ahitano,Kuil,ahitano,Apitano,tomo sewi Apitano
Q11657591,Ai Shrine,阿為神社,Kuil Ai,Kuil,ai,A,tomo sewi A
Q21652575,Aigahachiman Shrine,相賀八幡神社,Kuil Aigahachiman,Kuil,aigahachiman,Akapasiman,tomo sewi Akapasiman
Q135466692,Aiki Shrine,,Kuil Aiki,Kuil,aiki,Aki,tomo sewi Aki
Q63891011,Ainonai Shrine,相内神社,Kuil Ainonai,Kuil,ainonai,Anona,tomo sewi Anona
Q134957572,Aio Inari Shrine,相生稲荷神社,Kuil Aio Inari,Kuil,aioinari,Owinali,tomo sewi Owinali
Q111694252,"Aioiyama Shrine (Tenpaku-ku, Nagoya)",相生山神社,"Kuil Aioiyama (Tenpaku-ku, Nagoya)",Kuil,aioiyama,Owijama,tomo sewi Owijama
Q135351969,Aitokusan Ōji Shrine,愛徳山王子,Kuil Aitokusan Ōji,Kuil,aitokusanōji,Atokusanosi,tomo sewi Atokusanosi
Q30933144,Aitsuchi Shrine,相槌神社,Kuil Aitsuchi,Kuil,aitsuchi,Atusi,tomo sewi Atusi
Q135260223,Aizawa Shrine,会沢神社,Kuil Aizawa,Kuil,aizawa,Asawa,tomo sewi Asawa
Q48763373,Aizuchi Inari Shrine,合槌稲荷神社,Kuil Aizuchi Inari,Kuil,aizuchiinari,Asusinali,tomo sewi Asusinali
Q135039953,Aizuhime Shrine,会津比売神社,Kuil Aizuhime,Kuil,aizuhime,Asupime,tomo sewi Asupime
Q128867073,Aji Shrine,阿字神社,Kuil Aji,Kuil,aji,Asi,tomo sewi Asi
Q134958420,Aji Shrine,阿字神社,Kuil Aji,Kuil,aji,Asi,tomo sewi Asi
Q11417025,Ajifu Shrine,味府神社,Kuil Ajifu,Kuil,ajifu,Asipu,tomo sewi Asipu
Q11417035,Ajifu Shrine (Settsu),味生神社,Kuil Ajifu (Settsu),Kuil,ajifu,Asipu,tomo sewi Asipu
Q135186738,Ajiga Shrine,阿自賀神社,Kuil Ajiga,Kuil,ajiga,Asika,tomo sewi Asika
Q135186739,Ajiga Shrine,阿自賀神社,Kuil Ajiga,Kuil,ajiga,Asika,tomo sewi Asika
Q11657713,Ajika Shrine,阿遅加神社,Kuil Ajika,Kuil,ajika,Asika,tomo sewi Asika
Q110858812,Ajiko Shrine,阿治古神社,Kuil Ajiko,Kuil,ajiko,Asiko,tomo sewi Asiko
Q11417045,Ajima Shrine,味鋺神社,Kuil Ajima,Kuil,ajima,Asima,tomo sewi Asima
Q135194649,Ajimano Shrine,味真野神社,Kuil Ajimano,Kuil,ajimano,Asimano,tomo sewi Asimano
Q135041427,Ajimino Shrine,阿沼美神社 （阿治美神社）[注 2],Kuil Ajimino,Kuil,ajimino,Asimino,tomo sewi Asimino
Q11657371,Ajiya Shrine,阿字野神社,Kuil Ajiya,Kuil,ajiya,Asija,tomo sewi Asija
Q109567013,Aka Inari Shrine,赤稲荷神社,Kuil Aka Inari,Kuil,akainari,Akanali,tomo sewi Akanali
Q113571026,Aka Inari Shrine,赤稲荷神社,Kuil Aka Inari,Kuil,akainari,Akanali,tomo sewi Akanali
Q20042898,Akaba Shrine,赤羽神社,Kuil Akaba,Kuil,akaba,Akapa,tomo sewi Akapa
Q55450375,Akabane-hachiman Shrine,赤羽八幡神社,Kuil Akabane-hachiman,Kuil,akabanehachiman,Akapanepasiman,tomo sewi Akapanepasiman
Q11635898,Akabo Shrine,赤穂神社,Kuil Akabo,Kuil,akabo,Akapo,tomo sewi Akapo
Q105974885,Akaboshi Shrine,赤星神社,Kuil Akaboshi,Kuil,akaboshi,Akaposi,tomo sewi Akaposi
Q113272147,Akabuchi Shrine,赤淵神社,Kuil Akabuchi,Kuil,akabuchi,Akapusi,tomo sewi Akapusi
Q134888875,Akada Shrine,赤田神社,Kuil Akada,Kuil,akada,Akata,tomo sewi Akata
Q135041268,Akada Shrine,赤田神社,Kuil Akada,Kuil,akada,Akata,tomo sewi Akata
Q135040608,Akafuchino Shrine,赤淵神社,Kuil Akafuchino,Kuil,akafuchino,Akapusino,tomo sewi Akapusino
Q11635869,Akagami Shrine,赤神神社,Kuil Akagami,Kuil,akagami,Akakami,tomo sewi Akakami
Q11635467,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q11635470,Akagi Shrine,赤城神社 (柏市),Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q11635471,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q11635468,Akagi Shrine (worship),赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q11635469,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q11635472,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q110994875,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134596323,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134886003,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134886062,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134886072,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q131275527,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q131275528,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134886328,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134886837,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134887414,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134887030,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134886877,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134887241,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q134926956,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135039965,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135154670,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135153986,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135259563,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135259564,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135155017,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425042,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135155333,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425245,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425254,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425083,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425095,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425099,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425106,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425105,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135424971,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135424968,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135424980,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135424981,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425273,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425314,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135259079,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425172,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425177,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425451,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425448,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425585,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135259285,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425115,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425479,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425491,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135424898,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425555,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425857,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425875,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425878,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425320,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425327,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425356,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425845,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135260429,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425683,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425695,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425704,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135424953,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135260410,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425933,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135425939,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135426072,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135426146,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135426152,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135424960,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135426008,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135426024,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135426163,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135426164,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q135426165,Akagi Shrine,赤城神社,Kuil Akagi,Kuil,akagi,Akaki,tomo sewi Akaki
Q108505880,"Akagi Shrine (Ashitsugi-cho, Tatebayashi)",赤城神社 (館林市足次町),"Kuil Akagi (Ashitsugi-cho, Tatebayashi)",Kuil,akagi,Akaki,tomo sewi Akaki
Q135426156,Akagigoryō Shrine,赤城御霊神社,Kuil Akagigoryō,Kuil,akagigoryō,Akakikoliyo,tomo sewi Akakikoliyo
Q135039578,Akahikono Shrine,赤日子神社,Kuil Akahikono,Kuil,akahikono,Akapikono,tomo sewi Akapikono
Q135039839,Akahono Shrine,阿加穂神社,Kuil Akahono,Kuil,akahono,Akapono,tomo sewi Akapono
Q11635823,Akaiiwa Shrine,赤猪岩神社,Kuil Akaiiwa,Kuil,akaiiwa,Akawa,tomo sewi Akawa
Q135040544,Akakunino Shrine,赤國神社,Kuil Akakunino,Kuil,akakunino,Akakunino,tomo sewi Akakunino
Q107410073,Akamatsu Shrine,赤松神社,Kuil Akamatsu,Kuil,akamatsu,Akamatu,tomo sewi Akamatu
Q135039844,Akamino Shrine,赤見神社,Kuil Akamino,Kuil,akamino,Akamino,tomo sewi Akamino
Q11617261,Akanabe Shrine,茜部神社,Kuil Akanabe,Kuil,akanabe,Akanape,tomo sewi Akanape
Q48758374,Akanta Shrine,赤田神社,Kuil Akanta,Kuil,akanta,Akanta,tomo sewi Akanta
Q119929504,Akanuma Shrine,赤沼神社,Kuil Akanuma,Kuil,akanuma,Akanuma,tomo sewi Akanuma
Q117452953,Akao Shibutare Kōribe Shrine,赤尾渋垂郡辺神社,Kuil Akao Shibutare Kōribe,Kuil,akaoshibutarekōribe,Akosiputalekolipe,tomo sewi Akosiputalekolipe
Q135069462,Akaou Shrine,赤王神社,Kuil Akaou,Kuil,akaou,Ako,tomo sewi Ako
Q117848511,Akaruhimenomikoto Shrine,赤留比売命神社,Kuil Akaruhimenomikoto,Kuil,akaruhimenomikoto,Akalupimenomikoto,tomo sewi Akalupimenomikoto
Q134926765,Akasaka Shrine,赤坂神社 (各務原市),Kuil Akasaka,Kuil,akasaka,Akasaka,tomo sewi Akasaka
Q11635398,Akasakakaminoyama Shrine,赤坂上之山神社,Kuil Akasakakaminoyama,Kuil,akasakakaminoyama,Akasakakaminojama,tomo sewi Akasakakaminojama
Q11635561,Akasaki Shrine,赤崎神社,Kuil Akasaki,Kuil,akasaki,Akasaki,tomo sewi Akasaki
Q111550835,Akasuka Shinmei-sha,赤須賀神明社,Kuil Akasuka Shinmei-sha,Kuil,akasukashinmeisha,Akasukasinmesija,tomo sewi Akasukasinmesija
Q135041010,Akatano Shrine,県神社,Kuil Akatano,Kuil,akatano,Akatano,tomo sewi Akatano
Q135098951,Akatanushino Shrine,県主神社,Kuil Akatanushino,Kuil,akatanushino,Akatanusino,tomo sewi Akatanusino
Q119459992,Akatenugui Inari Shrine,赤手拭稲荷神社,Kuil Akatenugui Inari,Kuil,akatenuguiinari,Akatenukuwinali,tomo sewi Akatenukuwinali
Q11657607,Aki Shrine,阿紀神社,Kuil Aki,Kuil,aki,Aki,tomo sewi Aki
Q11595842,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q97280790,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q65277289,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q122958868,Akiba Shrine,秋葉社 (半田市),Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q111024166,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q117155534,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134595695,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134596611,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134886930,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134886854,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134886852,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134598043,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134695698,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134956218,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134955482,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134955596,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134956608,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134956494,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134957108,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134989225,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
Q134988733,Akiba Shrine,秋葉神社,Kuil Akiba,Kuil,akiba,Akipa,tomo sewi Akipa
